slug,age,height,position
kyle-walker-peters,28,173.0,Defender
kamal-deen-sulemana,23,175.0,Forward
joe-aribo,28,183.0,Midfielder
cameron-bragg,20,177.0,Midfielder
albert-gronbaek-erlykke,24,176.0,Midfielder
chimuanya-ugochukwu,21,190.0,Midfielder
cameron-archer,23,181.0,Forward
ross-stewart,28,188.0,Forward
welington-damascena-santos,24,177.0,Defender
joe-lumley,30,191.0,Goalkeeper
carl-rushworth,23,188.0,Goalkeeper
jack-hinshelwood,20,181.0,Midfielder
eiram-cashin,23,180.0,Defender
georginio-rutter,23,182.0,Forward
joe-knight,19,164.0,Midfielder
yasin-abbas-ayari,21,172.0,Midfielder
mark-o-mahony,20,,Forward
charlie-tasker,19,,Defender
joel-veltman,33,184.0,Defender
carlos-balepa-noom-quomah,21,179.0,Midfielder
pervis-josue-estupinan-tenorio,27,175.0,Defender
lewis-dunk,33,192.0,Defender
tariq-lamptey,24,163.0,Defender
solomon-march,30,180.0,Midfielder
ferdi-erenay-kadioglu,25,174.0,Defender
kaoru-mitoma,28,178.0,Midfielder
mats-wieffer,25,188.0,Midfielder
jason-steele,34,188.0,Goalkeeper
igor-julio-dos-santos-de-paulo,27,185.0,Defender
thomas-mcgill,25,185.0,Goalkeeper
bart-verbruggen,22,193.0,Goalkeeper
diego-alexander-gomez-amarilla,22,183.0,Midfielder
daniel-nii-tackie-mensah-welbeck,34,185.0,Forward
thomas-watson,19,168.0,Forward
andrew-moran,21,177.0,Midfielder
freddie-simmonds,17,,Defender
joao-pedro-junqueira-de-jesus,23,182.0,Forward
brajan-gruda,21,178.0,Forward
killian-cahill,21,182.0,Goalkeeper
amario-cozier-duberry,20,170.0,Midfielder
jacob-slater,20,182.0,Defender
matthew-o-riley,24,187.0,Midfielder
yankuba-minteh,20,180.0,Forward
jan-paul-van-hecke,25,189.0,Defender
adam-webster,30,191.0,Defender
harry-howell,17,,Forward
simon-adingra,23,175.0,Forward
jeremy-sarmiento,22,178.0,Midfielder
james-philip-milner,39,175.0,Midfielder
ashley-young,39,175.0,Defender
bradley-moonan,19,183.0,Defender
roman-ivan-quintyne-dixon,20,175.0,Defender
owen-barker,20,173.0,Midfielder
jesper-lindstrom,25,182.0,Midfielder
luke-joseph-butterfield,21,175.0,Midfielder
nathan-patterson,23,189.0,Defender
isaac-heath,20,173.0,Forward
zan-luk-leban,22,188.0,Goalkeeper
dwight-mcneil,25,183.0,Forward
martin-sherif,18,183.0,Forward
norberto-bercique-gomes-betuncal,27,194.0,Forward
coby-ebere,19,187.0,Forward
jarrad-branthwaite,22,195.0,Defender
reece-welch,21,,Defender
orel-mangala,27,178.0,Midfielder
jordan-pickford,31,185.0,Goalkeeper
armando-broja,23,191.0,Forward
dominic-calvert-lewin,28,187.0,Forward
callum-bates,19,180.0,Midfielder
jack-harrison,28,175.0,Forward
joao-manuel-neves-virginia,25,193.0,Goalkeeper
youssef-ramalho-chermiti,21,192.0,Forward
mason-holgate,28,184.0,Defender
abdoulaye-doucoure,32,184.0,Midfielder
idrissa-gana-gueye,35,174.0,Midfielder
vitalii-mykolenko,26,180.0,Defender
seamus-coleman,36,177.0,Defender
james-garner,24,186.0,Midfielder
tyler-onyango,22,190.0,Midfielder
asmir-begovic,37,199.0,Goalkeeper
carlos-alcaraz,22,176.0,Midfielder
jake-o-brien-ie,24,197.0,Defender
tim-iroegbunam,21,183.0,Midfielder
